Employee_ID,Department,Gender,Age,Job_Title,Hire_Date,Years_At_Company,Education_Level,Performance_Score,Monthly_Salary,Work_Hours_Per_Week,Projects_Handled,Overtime_Hours,Sick_Days,Remote_Work_Frequency,Team_Size,Training_Hours,Promotions,Employee_Satisfaction_Score,Resigned,Attendance_Score,Merit_Score
23,Finance,Male,26,Specialist,2016-07-23 08:03:05.556036,8,High School,4,6300.0,48,40,9,13,0,13,71,2,3.68,False,1,0.6049853638425067
37,Sales,Male,43,Consultant,2024-04-04 08:03:05.556036,0,High School,2,6600.0,53,42,10,2,0,16,18,1,4.97,False,12,0.6277207792207792
40,HR,Female,58,Engineer,2023-04-11 08:03:05.556036,1,Bachelor,5,9000.0,44,2,2,8,100,14,85,1,4.22,False,6,0.6265947227375799
42,Marketing,Male,29,Specialist,2021-10-31 08:03:05.556036,2,High School,4,6300.0,33,10,6,2,25,8,28,2,4.84,False,12,0.6108105545248402
48,Operations,Male,31,Specialist,2023-11-23 08:03:05.556036,0,Bachelor,1,4950.0,45,31,20,2,75,15,82,2,4.84,False,12,0.6556157493300351
49,Legal,Male,40,Specialist,2016-06-02 08:03:05.556036,8,High School,5,6750.0,59,49,0,2,100,17,13,1,2.9,False,12,0.6926911976911978
55,Operations,Female,34,Technician,2015-08-15 08:03:05.556036,9,High School,5,5250.0,32,26,6,6,25,3,68,1,1.87,True,8,0.6012819006390435
59,IT,Other,52,Technician,2024-07-03 08:03:05.556036,0,High School,3,4550.0,53,7,5,2,25,12,74,2,4.23,True,12,0.6109949494949495
62,Engineering,Male,53,Specialist,2017-07-11 08:03:05.556036,7,High School,5,6750.0,43,44,0,13,75,16,75,2,2.15,False,1,0.6028927025355597
63,Sales,Male,27,Manager,2018-05-23 08:03:05.556036,6,Bachelor,3,7800.0,44,29,12,0,75,18,73,1,2.26,False,14,0.628842094413523
76,Engineering,Male,47,Consultant,2018-04-11 08:03:05.556036,6,High School,4,7700.0,55,36,22,3,100,10,84,1,1.75,False,11,0.6612786023500309
78,Sales,Male,28,Developer,2020-10-17 08:03:05.556036,3,Master,5,7500.0,42,28,6,6,25,1,38,1,3.55,False,8,0.6328391053391054
94,Engineering,Male,52,Specialist,2021-04-23 08:03:05.556036,3,High School,4,6300.0,44,19,10,7,50,1,81,1,4.1,False,7,0.6461873840445269
103,IT,Male,33,Consultant,2020-01-07 08:03:05.556036,4,Bachelor,3,7150.0,49,45,29,2,75,6,57,2,5.0,True,12,0.7702535559678416
111,IT,Male,43,Technician,2023-09-08 08:03:05.556036,0,Bachelor,2,4200.0,48,33,4,7,25,12,75,2,4.8,False,7,0.6262090290661719
118,IT,Male,38,Consultant,2016-06-10 08:03:05.556036,8,PhD,4,7700.0,54,44,17,3,0,1,81,1,4.2,False,11,0.8103710575139147
123,Operations,Female,44,Manager,2015-08-12 08:03:05.556036,9,Bachelor,4,8400.0,53,11,28,5,0,12,60,1,4.47,False,9,0.6181815089672232
131,Engineering,Male,47,Specialist,2015-04-17 08:03:05.556036,9,Master,5,6750.0,34,14,27,6,50,15,97,2,2.84,True,8,0.6593881673881674
134,Operations,Female,29,Consultant,2019-05-01 08:03:05.556036,5,High School,2,6600.0,55,41,13,2,25,13,44,1,3.83,False,12,0.6191643990929705
138,Customer Support,Male,28,Manager,2019-03-26 08:03:05.556036,5,Master,5,9000.0,40,9,12,2,100,17,34,2,4.83,False,12,0.6683501339929911
144,Customer Support,Female,54,Analyst,2017-02-19 08:03:05.556036,7,High School,3,5200.0,48,49,27,3,75,11,64,2,1.82,False,11,0.6274357864357865
146,Customer Support,Male,43,Consultant,2018-02-24 08:03:05.556036,6,Master,2,6600.0,41,30,12,4,25,18,80,2,4.36,False,10,0.6449222840651412
